run_id,model_id,mean_residual_deviance,rmse,mse,mae,rmsle,auc,log_loss
lOBYWUG72,DRF_1_AutoML_20190421_232600,0.004620385686444586,0.06797341896980456,0.004620385686444586,0.017663789195114226,0.006943820432090886,,
lOBYWUG72,GBM_2_AutoML_20190421_234613,0.004811964266977565,0.06936832322449178,0.004811964266977565,0.015863115723380547,0.00740989501427717,,
lOBYWUG72,DRF_1_AutoML_20190421_233433,0.004860624422164384,0.06971817856315801,0.004860624422164384,0.021495106361841262,0.006628020959170032,,
lOBYWUG72,GBM_3_AutoML_20190421_233433,0.0048967034369570535,0.06997644915939258,0.0048967034369570535,0.013497520079345337,0.006677741691355119,,
lOBYWUG72,GBM_3_AutoML_20190421_232600,0.004931238627155975,0.07022277854910025,0.004931238627155975,0.014939361329772268,0.0073281571803369295,,
lOBYWUG72,GBM_5_AutoML_20190422_000108,0.0049567214663962965,0.07040398757454222,0.0049567214663962965,0.020258327129980228,0.00900415328465899,,
lOBYWUG72,DRF_1_AutoML_20190421_234613,0.005406243610537161,0.07352716239960004,0.005406243610537161,0.020812892799769337,0.0070627077135398016,,
lOBYWUG72,GBM_4_AutoML_20190421_232600,0.005675554900315661,0.07533627877932159,0.005675554900315661,0.01092684021607928,0.007548594725523197,,
lOBYWUG72,DRF_1_AutoML_20190422_000108,0.005797413555048561,0.07614074832209466,0.005797413555048561,0.021892143907181888,0.0071986704590666205,,
lOBYWUG72,GBM_5_AutoML_20190421_232600,0.006285325280579159,0.07928004339415537,0.006285325280579159,0.026468260052457133,0.009292915191736806,,
lOBYWUG72,GBM_5_AutoML_20190421_233433,0.007625767330108853,0.08732563959175366,0.007625767330108853,0.02835445077689872,0.010011350931058649,,
lOBYWUG72,GBM_5_AutoML_20190421_234613,0.007962500697226664,0.08923284539465648,0.007962500697226664,0.026897693185109973,0.010444484510393363,,
lOBYWUG72,DeepLearning_1_AutoML_20190421_233433,0.010992123409942687,0.10484332792287113,0.010992123409942687,0.07340817204683994,0.012422545452995244,,
lOBYWUG72,DeepLearning_1_AutoML_20190422_000108,0.01133485452561267,0.1064652738014263,0.01133485452561267,0.07178201920809557,0.014770977581412981,,
lOBYWUG72,DeepLearning_1_AutoML_20190421_232600,0.015792732148494547,0.12566913761339554,0.015792732148494547,0.09478767647873547,0.016994391827549363,,
lOBYWUG72,GBM_grid_1_AutoML_20190421_233433_model_1,0.01738641055100101,0.1318575388478073,0.01738641055100101,0.08083489056698423,0.013760234714615434,,
lOBYWUG72,GBM_grid_1_AutoML_20190421_234613_model_2,0.01990012779645775,0.14106781275846647,0.01990012779645775,0.08617108892331339,0.015227176629336796,,
lOBYWUG72,DeepLearning_1_AutoML_20190421_234613,0.020083799045942003,0.14171732091012024,0.020083799045942003,0.10324564349511577,0.01810224505015029,,
lOBYWUG72,GBM_grid_1_AutoML_20190421_234613_model_3,0.023255011944962697,0.15249594074913173,0.023255011944962697,0.03884170162721776,0.016213365126345962,,
lOBYWUG72,GBM_grid_1_AutoML_20190421_233433_model_3,0.03166672072998473,0.17795145610526691,0.03166672072998473,0.1005536469799059,0.017998402731089987,,
lOBYWUG72,GBM_grid_1_AutoML_20190421_234613_model_1,0.04621692148482783,0.2149812119345033,0.04621692148482783,0.11649565737757235,0.023686351451189587,,
lOBYWUG72,DeepLearning_grid_1_AutoML_20190422_000108_model_3,0.05168280287767543,0.2273385204440185,0.05168280287767543,0.17399400674529794,0.03409372731248727,,
lOBYWUG72,GBM_grid_1_AutoML_20190422_000108_model_1,0.05282003100317418,0.2298260886043492,0.05282003100317418,0.14940291445321313,0.024619281616628047,,
lOBYWUG72,DeepLearning_grid_1_AutoML_20190421_233433_model_1,0.12413483200091673,0.352327733794711,0.12413483200091673,0.2560013836418196,,,
lOBYWUG72,DeepLearning_grid_1_AutoML_20190422_000108_model_2,0.13783027006952664,0.3712549933260516,0.13783027006952664,0.2792439915867128,,,
lOBYWUG72,GBM_grid_1_AutoML_20190421_233433_model_2,0.17667439094890364,0.4203265289615963,0.17667439094890364,0.3278344679412128,0.05395101326745383,,
lOBYWUG72,GBM_grid_1_AutoML_20190421_234613_model_5,0.24824129250644256,0.4982381885267754,0.24824129250644256,0.3895748670258024,0.06374963690380317,,
lOBYWUG72,GBM_grid_1_AutoML_20190422_000108_model_3,0.3881964750373916,0.6230541509671463,0.3881964750373916,0.4866925645959056,0.0786430446186166,,
lOBYWUG72,DeepLearning_grid_1_AutoML_20190421_234613_model_2,0.4199257665081505,0.6480167949275316,0.4199257665081505,0.5115130831585817,,,
lOBYWUG72,DeepLearning_grid_1_AutoML_20190421_232600_model_1,0.4461901678609199,0.6679746760625883,0.4461901678609199,0.5237135205349372,,,
lOBYWUG72,DeepLearning_grid_1_AutoML_20190421_233433_model_4,0.5035314558015028,0.709599503805846,0.5035314558015028,0.5592309083420298,0.09169218572540612,,
lOBYWUG72,DeepLearning_grid_1_AutoML_20190421_233433_model_2,0.544974407561865,0.7382238194219047,0.544974407561865,0.5903766670748389,,,
lOBYWUG72,DeepLearning_grid_1_AutoML_20190422_000108_model_5,0.5874049441367409,0.766423475721315,0.5874049441367409,0.5708526688753224,0.08354081756068824,,
lOBYWUG72,DeepLearning_grid_1_AutoML_20190421_234613_model_4,0.6247053406531903,0.7903830341379996,0.6247053406531903,0.6053958821345977,0.08481132545469175,,
lOBYWUG72,DeepLearning_grid_1_AutoML_20190421_233433_model_5,0.6622069356994156,0.8137609819224657,0.6622069356994156,0.6196464318797313,0.097357976212538,,
